,no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,loan_count
174,175,175,실패를 사랑하는 직업 :요조 산문 ,지은이: 요조,마음산책,2021,9788960906600,03810,,818.0,문학 > 한국문학 > 르포르타주 및 기타,83
175,176,175,작가들의 비밀스러운 삶 :기욤 뮈소 장편소설 ,지은이: 기욤 뮈소 ;옮긴이: 양영란,밝은세상,2019,9788984373853,,,863.0,문학 > 프랑스문학 > 소설,83
176,177,175,인생은 소설이다 :기욤 뮈소 장편소설 ,지은이: 기욤 뮈소 ;옮긴이: 양영란,밝은세상,2020,9788984374164,03860,,863.0,문학 > 프랑스문학 > 소설,83
177,178,175,숙명 ,히가시노 게이고 지음 ;권남희 옮김,소미미디어,2020,9791165077259,03830,,833.6,문학 > 일본문학 > 소설,83
178,179,179,넛지 :똑똑한 선택을 이끄는 힘 ,"리처드 탈러,안진환 옮김",웅진씽크빅,2009,9788901093154,03320,,321.89,사회과학 > 경제학 > 경제각론,82
179,180,179,천문학자는 별을 보지 않는다 ,심채경 지음,문학동네,2021,9788954677257,03810,,440.4,자연과학 > 천문학 > 천문학,82
180,181,179,트라우마 사전 :작가를 위한 캐릭터 창조 가이드 ,"안젤라 애커만,임상훈 옮김",윌북,2020,9791155812662,03600,,802.0,"문학 > 문학 > 문장작법, 수사학",82
181,182,182,"나는 풍요로웠고, 지구는 달라졌다 ",지은이: 호프 자런 ;옮긴이: 김은령,김영사,2020,9788934990307,03450,,539.9,"기술과학 > 공학, 공업일반 > 위생, 도시, 환경공학",81
182,183,182,항구의 사랑 :김세희 장편소설 ,지은이: 김세희,민음사,2019,9788937473210,04810,,813.7,문학 > 한국문학 > 소설,81
183,184,182,돈으로 살 수 없는 것들 :무엇이 가치를 결정하는가 ,지은이: 마이클 샌델 ;옮긴이: 안기순,미래엔,2012,9788937833663,03330,,193.0,"철학 > 윤리학, 도덕철학 > 국가 및 정치윤리",81
184,185,185,두 번째 엔딩 ,"지은이: 김려령,백온유",창비,2021,9788936434458,03810,,813.7,문학 > 한국문학 > 소설,80
185,186,185,내일을 위한 내 일 :이다혜 인터뷰집 ,지은이: 이다혜,창비,2021,9788936459413,03190,,337.6,"사회과학 > 사회학, 사회문제 > 여성문제",80
186,187,185,복자에게 :김금희 장편소설 ,지은이: 김금희,문학동네,2020,9788954674492,03810,,813.7,문학 > 한국문학 > 소설,80
187,188,185,방구석 미술관,조원재 지음,백도씨,2020,9788968332845,03600,2,650.4,"예술 > 회화, 도화 > 회화, 도화",80
